model_MLP-3,model_MLP-5,model_MLP-7,model_LeNet-5,model_AlexNet,model_VGG-16,activation_leaky_relu,activation_relu,activation_sigmoid,activation_tanh,mode_normal,capa_checkpoint_fc2,capa_checkpoint_fc2_fc4,capa_checkpoint_fc3,capa_checkpoint_fc4,capa_checkpoint_fc2_fc4_fc6,capa_checkpoint_fc2_fc5,capa_checkpoint_fc2_fc6,capa_checkpoint_fc3_fc5,capa_checkpoint_fc3_fc6,capa_checkpoint_fc4_fc6,capa_checkpoint_fc5,capa_checkpoint_fc6,capa_checkpoint_block1,capa_checkpoint_block1_block2,capa_checkpoint_block1_block2_block3,capa_checkpoint_block1_block2_block3_block4,capa_checkpoint_block1_block2_block3_block4_block5,capa_checkpoint_block1_fc_block,capa_checkpoint_block2,capa_checkpoint_block2_fc_block,capa_checkpoint_block3,capa_checkpoint_block3_fc_block,capa_checkpoint_block4,capa_checkpoint_block4_fc_block,capa_checkpoint_block5,capa_checkpoint_block5_fc_block,capa_checkpoint_conv1,capa_checkpoint_conv1_conv2,capa_checkpoint_conv1_conv2_conv3,capa_checkpoint_conv1_conv2_conv3_conv4,capa_checkpoint_conv1_conv2_conv3_conv4_conv5,capa_checkpoint_conv1_conv2_fc,capa_checkpoint_conv1_fc_block,capa_checkpoint_conv2,capa_checkpoint_conv2_fc_block,capa_checkpoint_conv3,capa_checkpoint_conv3_fc_block,capa_checkpoint_conv4,capa_checkpoint_conv4_fc_block,capa_checkpoint_conv5,capa_checkpoint_conv5_fc_block,capa_checkpoint_fc,capa_checkpoint_fc_block,capa_checkpoint_full,"fc_config_fc(2048,2048)","fc_config_fc(2048,1024,512,512)","fc_config_fc(2048,1024,512,256,128,128)","conv_config_conv(6, 12)_fc(100, 64)","conv_config_filt(24, 48, 96, 192, 192)_fc(1536, 1536)","conv_config_filt(40, 96, 160, 160, 96)_fc(1536, 1536)","fc_config_(100, 64)","fc_config_(1536, 1536)",gpu_name_NVIDIA GeForce GTX TITAN X,gpu_architecture_Maxwell,"Reloj_boost_1,706 MHz",gpu_name_AMD Instinct MI210,gpu_architecture_CDNA2,"Reloj_boost_1,700 MHz",peak_memory_MB,memory_avg_MB,time_per_iter_ms,total_time_ms,throughput,total_flops,factor_recompute,ahorro_memoria_pct,tiempo_extra_ms,gpu_memory_gb,cuda_cores,render_cores,best_epoch,train_acc,val_acc,total_train_time_s,batch_size
1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206.37,191.42,2.2962,68.8845,27872.73,76991692860,1.2645,0.0522,0.0104,64.0,0.0,6656.0,8,0.99955,0.9836,27.665,64
1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206.37,191.49,2.2491,67.4729,28455.85,76991692860,1.2645,1.0643,0.0104,64.0,0.0,6656.0,8,0.99953,0.9837,27.1,64
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206.37,191.42,2.4966,74.8978,25634.93,76991692860,1.2645,1.034,0.011,64.0,0.0,6656.0,10,0.99682,0.9819,34.841,64
1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,206.37,191.42,2.528,75.8406,25316.25,76991692860,1.2645,1.034,0.011,64.0,0.0,6656.0,10,0.95838,0.9527,34.905,64
1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,212.3,197.61,2.0452,61.3556,62585.93,121771130940,1.0,0.0,0.0,64.0,0.0,6656.0,10,0.99892,0.9821,30.88,128
1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,212.3,199.76,1.9908,59.7235,64296.27,121771130940,1.0,0.0,0.0,64.0,0.0,6656.0,8,0.99687,0.9823,24.924,128
1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,212.3,199.51,2.2217,66.6497,57614.62,121771130940,1.0,0.0,0.0,64.0,0.0,6656.0,10,0.99208,0.9783,31.266,128
1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,212.3,199.51,2.2785,68.3558,56176.66,121771130940,1.0,0.0,0.0,64.0,0.0,6656.0,10,0.9336,0.9366,31.197,128
1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,212.3,197.51,2.4116,72.3481,53076.74,153983385660,1.2645,0.0506,0.011,64.0,0.0,6656.0,10,0.99892,0.9821,31.042,128
1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,212.3,197.63,2.3793,71.3779,53798.19,153983385660,1.2645,1.0663,0.0117,64.0,0.0,6656.0,8,0.99687,0.9823,24.979,128
